layer,idx,lat,lon,alt_m,speed_mps
L5.0m,0,31.2304,121.47385758271678,5.0,1.5
L5.0m,1,31.230434875165606,121.47385221321592,5.0,1.5
L5.0m,2,31.23046737364631,121.47383647063593,5.0,1.5
L5.0m,3,31.230495280724355,121.47381142780763,5.0,1.5
L5.0m,4,31.230516694578498,121.47377879135838,5.0,1.5
L5.0m,5,31.230530155889962,121.47374078540828,5.0,1.5
L5.0m,6,31.230534747292616,121.4737,5.0,1.5
L5.0m,7,31.230530155889962,121.4736592145917,5.0,1.5
L5.0m,8,31.230516694578498,121.4736212086416,5.0,1.5
L5.0m,9,31.230495280724355,121.47358857219236,5.0,1.5
L5.0m,10,31.23046737364631,121.47356352936406,5.0,1.5
L5.0m,11,31.230434875165606,121.47354778678407,5.0,1.5
L5.0m,12,31.2304,121.47354241728321,5.0,1.5
L5.0m,13,31.230365124834393,121.47354778678407,5.0,1.5
L5.0m,14,31.23033262635369,121.47356352936406,5.0,1.5
L5.0m,15,31.230304719275644,121.47358857219236,5.0,1.5
L5.0m,16,31.2302833054215,121.4736212086416,5.0,1.5
L5.0m,17,31.230269844110037,121.4736592145917,5.0,1.5
L5.0m,18,31.230265252707383,121.4737,5.0,1.5
L5.0m,19,31.230269844110037,121.47374078540828,5.0,1.5
L5.0m,20,31.2302833054215,121.47377879135838,5.0,1.5
L5.0m,21,31.230304719275644,121.47381142780763,5.0,1.5
L5.0m,22,31.23033262635369,121.47383647063593,5.0,1.5
L5.0m,23,31.230365124834393,121.47385221321592,5.0,1.5
L5.0m,24,31.2304,121.47385758271678,5.0,1.5
L10.0m,0,31.2304,121.47385758271678,10.0,1.5
L10.0m,1,31.230434875165606,121.47385221321592,10.0,1.5
L10.0m,2,31.23046737364631,121.47383647063593,10.0,1.5
L10.0m,3,31.230495280724355,121.47381142780763,10.0,1.5
L10.0m,4,31.230516694578498,121.47377879135838,10.0,1.5
L10.0m,5,31.230530155889962,121.47374078540828,10.0,1.5
L10.0m,6,31.230534747292616,121.4737,10.0,1.5
L10.0m,7,31.230530155889962,121.4736592145917,10.0,1.5
L10.0m,8,31.230516694578498,121.4736212086416,10.0,1.5
L10.0m,9,31.230495280724355,121.47358857219236,10.0,1.5
L10.0m,10,31.23046737364631,121.47356352936406,10.0,1.5
L10.0m,11,31.230434875165606,121.47354778678407,10.0,1.5
L10.0m,12,31.2304,121.47354241728321,10.0,1.5
L10.0m,13,31.230365124834393,121.47354778678407,10.0,1.5
L10.0m,14,31.23033262635369,121.47356352936406,10.0,1.5
L10.0m,15,31.230304719275644,121.47358857219236,10.0,1.5
L10.0m,16,31.2302833054215,121.4736212086416,10.0,1.5
L10.0m,17,31.230269844110037,121.4736592145917,10.0,1.5
L10.0m,18,31.230265252707383,121.4737,10.0,1.5
L10.0m,19,31.230269844110037,121.47374078540828,10.0,1.5
L10.0m,20,31.2302833054215,121.47377879135838,10.0,1.5
L10.0m,21,31.230304719275644,121.47381142780763,10.0,1.5
L10.0m,22,31.23033262635369,121.47383647063593,10.0,1.5
L10.0m,23,31.230365124834393,121.47385221321592,10.0,1.5
L10.0m,24,31.2304,121.47385758271678,10.0,1.5
L15.0m,0,31.2304,121.47385758271678,15.0,1.5
L15.0m,1,31.230434875165606,121.47385221321592,15.0,1.5
L15.0m,2,31.23046737364631,121.47383647063593,15.0,1.5
L15.0m,3,31.230495280724355,121.47381142780763,15.0,1.5
L15.0m,4,31.230516694578498,121.47377879135838,15.0,1.5
L15.0m,5,31.230530155889962,121.47374078540828,15.0,1.5
L15.0m,6,31.230534747292616,121.4737,15.0,1.5
L15.0m,7,31.230530155889962,121.4736592145917,15.0,1.5
L15.0m,8,31.230516694578498,121.4736212086416,15.0,1.5
L15.0m,9,31.230495280724355,121.47358857219236,15.0,1.5
L15.0m,10,31.23046737364631,121.47356352936406,15.0,1.5
L15.0m,11,31.230434875165606,121.47354778678407,15.0,1.5
L15.0m,12,31.2304,121.47354241728321,15.0,1.5
L15.0m,13,31.230365124834393,121.47354778678407,15.0,1.5
L15.0m,14,31.23033262635369,121.47356352936406,15.0,1.5
L15.0m,15,31.230304719275644,121.47358857219236,15.0,1.5
L15.0m,16,31.2302833054215,121.4736212086416,15.0,1.5
L15.0m,17,31.230269844110037,121.4736592145917,15.0,1.5
L15.0m,18,31.230265252707383,121.4737,15.0,1.5
L15.0m,19,31.230269844110037,121.47374078540828,15.0,1.5
L15.0m,20,31.2302833054215,121.47377879135838,15.0,1.5
L15.0m,21,31.230304719275644,121.47381142780763,15.0,1.5
L15.0m,22,31.23033262635369,121.47383647063593,15.0,1.5
L15.0m,23,31.230365124834393,121.47385221321592,15.0,1.5
L15.0m,24,31.2304,121.47385758271678,15.0,1.5
